remark: cnn_lenet.cpp:72:13: Loop 'col_loop2' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:74:30: Loop 'kernelRow_Loop2' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:75:34: Loop 'kernelCol_loop2' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:54:33: Loop 'kernelRow_Loop' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:55:37: Loop 'kernelCol_Loop' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:36:33: Loop 'convolutionRow' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:38:21: Loop 'convolutionColumn' is marked as complete unroll implied by the pipeline pragma
remark: cnn_lenet.cpp:14:0: Unrolling loop 'col_loop2' (cnn_lenet.cpp:72:13) in function 'cnn_lenet' completely with a factor of 50
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelRow_Loop2' (cnn_lenet.cpp:74:30) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
remark: cnn_lenet.cpp:14:0: Unrolling loop 'kernelCol_loop2' (cnn_lenet.cpp:75:34) in function 'cnn_lenet' completely with a factor of 5
